August 2019 - July 2020 Florida County Precipitation
Units: Inches
Missing: -99,Rank out of 127 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
FL-001,"Alachua County",54.2,76,1.64,52.56
FL-003,"Baker County",47.1,47,-4.39,51.49
FL-005,"Bay County",51.5,33,-6.98,58.48
FL-007,"Bradford County",51.41,60,-0.84,52.25
FL-009,"Brevard County",54.35,89,3.89,50.46
FL-011,"Broward County",67.59,106,10.57,57.02
FL-013,"Calhoun County",46.9,16,-11.19,58.09
FL-015,"Charlotte County",47.95,46,-2.86,50.81
FL-017,"Citrus County",51.65,52,-1.65,53.3
FL-019,"Clay County",52.05,68,0.22,51.83
FL-021,"Collier County",55.01,81,2.94,52.07
FL-023,"Columbia County",47.62,46,-3.87,51.49
FL-027,"DeSoto County",47.96,43,-3.36,51.32
FL-029,"Dixie County",56.22,78,2.55,53.67
FL-031,"Duval County",51.95,77,1.77,50.18
FL-033,"Escambia County",55.48,38,-6.77,62.25
FL-035,"Flagler County",48.14,46,-3.68,51.82
FL-037,"Franklin County",39.12,3,-19.11,58.23
FL-039,"Gadsden County",44.37,13,-12.17,56.54
FL-041,"Gilchrist County",54.65,76,1.92,52.73
FL-043,"Glades County",46.95,49,-3.31,50.26
FL-045,"Gulf County",43.22,12,-15.26,58.48
FL-047,"Hamilton County",45.02,31,-6.78,51.8
FL-049,"Hardee County",48.36,37,-4.09,52.45
FL-051,"Hendry County",44.95,25,-6.88,51.83
FL-053,"Hernando County",50.32,47,-3.18,53.5
FL-055,"Highlands County",49.75,67,-0.71,50.46
FL-057,"Hillsborough County",50.88,54,-1.41,52.29
FL-059,"Holmes County",59.82,76,2.18,57.64
FL-061,"Indian River County",62.8,106,10.32,52.48
FL-063,"Jackson County",47.21,23,-7.45,54.66
FL-065,"Jefferson County",47.15,27,-7.89,55.04
FL-067,"Lafayette County",52.64,62,-1.72,54.36
FL-069,"Lake County",47.76,45,-3.12,50.88
FL-071,"Lee County",49.3,56,-0.69,49.99
FL-073,"Leon County",45.09,13,-12.11,57.2
FL-075,"Levy County",55.25,82,2.31,52.94
FL-077,"Liberty County",43.98,11,-14.83,58.81
FL-079,"Madison County",48.57,46,-4.98,53.55
FL-081,"Manatee County",50.43,55,-2.08,52.51
FL-083,"Marion County",48.79,40,-3.9,52.69
FL-085,"Martin County",69.95,122,15.86,54.09
FL-086,"Miami-Dade County",58.74,86,3.64,55.1
FL-087,"Monroe County",52.14,79,1.32,50.82
FL-089,"Nassau County",51.77,74,1.24,50.53
FL-091,"Okaloosa County",61.72,66,1.06,60.66
FL-093,"Okeechobee County",57.47,98,6.67,50.8
FL-095,"Orange County",49.72,65,-0.64,50.36
FL-097,"Osceola County",52.59,82,2.25,50.34
FL-099,"Palm Beach County",64.61,96,7.72,56.89
FL-101,"Pasco County",51.53,56,-1.46,52.99
FL-103,"Pinellas County",50.46,59,-1.06,51.52
FL-105,"Polk County",51.07,62,-0.64,51.71
FL-107,"Putnam County",50.91,53,-2.21,53.12
FL-109,"St. Johns County",51.69,68,0.74,50.95
FL-111,"St. Lucie County",67.16,118,14.36,52.8
FL-113,"Santa Rosa County",56.72,45,-5.3,62.02
FL-115,"Sarasota County",49.11,50,-2.94,52.05
FL-117,"Seminole County",49.1,65,-1.41,50.51
FL-119,"Sumter County",48.81,38,-3.51,52.32
FL-121,"Suwannee County",48.85,48,-4.27,53.12
FL-123,"Taylor County",51.69,49,-3.85,55.54
FL-125,"Union County",49.84,57,-1.86,51.7
FL-127,"Volusia County",51.08,69,0.19,50.89
FL-129,"Wakulla County",44.09,13,-14.05,58.14
FL-131,"Walton County",61.72,70,1.63,60.09
FL-133,"Washington County",54.74,52,-2.57,57.31
