"Table 1. Real Gross Domestic Product, by County, 2018–2021",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2012) dollars,,,,Rank in state,Percent change,,,Rank in state
,2018,2019,2020,2021,2021,2019,2020,2021,2021
United States,"18,433,773,560","18,857,877,001","18,326,935,490","19,410,602,997",--,2.3,-2.8,5.9,--
,,,,,,,,,
Alabama,"200,372,623","203,432,712","199,880,770","209,979,322",--,1.5,-1.7,5.1,--
Autauga,"1,600,812","1,543,336","1,525,591","1,502,153",24,-3.6,-1.1,-1.5,59
Baldwin,"6,786,933","7,132,205","7,142,139","7,830,237",7,5.1,0.1,9.6,9
Barbour,"726,669","728,447","699,829","709,459",41,0.2,-3.9,1.4,50
Bibb,"352,652","380,403","398,101","392,249",56,7.9,4.7,-1.5,58
Blount,"963,577","937,239","883,216","997,835",34,-2.7,-5.8,13.0,3
Bullock,"235,720","250,367","251,580","236,820",63,6.2,0.5,-5.9,63
Butler,"607,338","616,902","595,024","652,486",43,1.6,-3.5,9.7,8
Calhoun,"3,949,243","4,139,002","4,026,694","4,245,199",11,4.8,-2.7,5.4,24
Chambers,"807,671","829,391","811,937","844,188",36,2.7,-2.1,4.0,35
Cherokee,"538,707","524,953","476,187","533,432",45,-2.6,-9.3,12.0,4
Chilton,"916,955","978,878","967,885","1,001,475",33,6.8,-1.1,3.5,38
Choctaw,"547,191","500,986","499,772","501,532",49,-8.4,-0.2,0.4,56
Clarke,"749,753","737,104","752,027","761,922",38,-1.7,2.0,1.3,51
Clay,"443,907","405,188","400,458","434,129",53,-8.7,-1.2,8.4,13
Cleburne,"300,078","276,070","260,699","298,888",60,-8.0,-5.6,14.6,2
Coffee,"1,322,035","1,320,034","1,262,831","1,403,123",25,-0.2,-4.3,11.1,6
Colbert,"2,355,465","2,348,225","2,340,695","2,444,622",18,-0.3,-0.3,4.4,32
Conecuh,"489,553","470,223","453,603","457,634",51,-3.9,-3.5,0.9,54
Coosa,"178,434","174,970","172,501","175,564",66,-1.9,-1.4,1.8,47
Covington,"1,164,040","1,100,695","1,091,293","1,151,784",31,-5.4,-0.9,5.5,23
Crenshaw,"446,440","437,554","369,821","441,247",52,-2.0,-15.5,19.3,1
Cullman,"2,592,454","2,656,667","2,610,437","2,912,833",15,2.5,-1.7,11.6,5
Dale,"2,537,891","2,561,466","2,464,664","2,632,339",16,0.9,-3.8,6.8,17
Dallas,"1,122,851","1,112,919","1,098,502","1,061,713",32,-0.9,-1.3,-3.3,61
DeKalb,"1,912,735","1,864,771","1,783,136","1,973,395",21,-2.5,-4.4,10.7,7
Elmore,"1,788,247","1,812,579","1,740,649","1,787,108",22,1.4,-4.0,2.7,42
Escambia,"1,213,865","1,210,415","1,176,516","1,176,856",30,-0.3,-2.8,0.0,57
Etowah,"2,833,867","2,766,052","2,558,388","2,596,715",17,-2.4,-7.5,1.5,48
Fayette,"316,011","320,650","310,902","324,913",59,1.5,-3.0,4.5,30
Franklin,"959,027","930,523","878,485","955,433",35,-3.0,-5.6,8.8,12
Geneva,"500,911","527,824","510,787","530,408",46,5.4,-3.2,3.8,36
Greene,"209,421","217,745","197,909","176,400",65,4.0,-9.1,-10.9,65
Hale,"245,774","242,546","248,887","221,635",64,-1.3,2.6,-10.9,66
Henry,"394,475","407,312","402,101","415,374",55,3.3,-1.3,3.3,39
