,,,Population by County by Year

,Population,Population,Population,Population,Population,Population,
Year,2016,2017,2018,2019,2020,Total,
Alachua,257478,259349,263753,266649,270405,1317634,
Baker,26967,27066,27488,28089,28588,138198,
Bay,176637,178953,182218,179900,175776,893484,
Bradford,27498,27808,28083,28455,28818,140662,
Brevard,570496,576970,584050,593372,604154,2929042,
Broward,1860979,1884545,1903210,1927014,1946104,9521852,
Calhoun,14594,14658,15315,14982,14894,74443,
Charlotte,171219,173954,175413,182298,185392,888276,
Citrus,143458,144922,145164,147735,149781,731060,
Clay,206387,210767,213565,217109,219925,1067753,
Collier,351768,358506,367471,377700,386478,1841923,
Columbia,68687,69250,69566,70614,70694,348811,
Miami-Dade,2712144,2754749,2804160,2830500,2864600,13966153,
Desoto,35215,35454,35940,35718,36388,178715,
Dixie,16844,17040,16767,16516,16704,83871,
Duval,927903,942841,954454,971842,988783,4785823,
Escambia,310642,312811,317051,322901,324620,1588025,
Flagler,103584,106076,108481,110636,114053,542830,
Franklin,11937,12006,12360,12017,12229,60549,
Gadsden,48527,48690,48173,47926,46345,239661,
Gilchrist,16862,16977,17578,17682,18027,87126,
Glades,13101,13263,13193,13098,13230,65885,
Gulf,16718,16957,16235,16507,14716,81133,
Hamilton,14666,14749,14706,14787,14618,73526,
Hardee,27643,27675,27436,27311,27571,137636,
Hendry,38436,38675,39682,40089,40594,197476,
Hernando,180213,183065,185421,189661,192189,930549,
Highlands,101727,102590,103317,103391,104384,515409,
Hillsborough,1359850,1388111,1419285,1445243,1481163,7093652,
Holmes,20037,20132,20404,20218,20184,100975,
Indian River,147163,149930,152079,155308,158238,762718,
Jackson,50311,50303,50689,50325,47171,248799,
Jefferson,14501,14530,14725,14842,14831,73429,
Lafayette,8620,8651,8367,8613,8721,42972,
Lake,325887,333598,342356,354537,368828,1725206,
Lee,684465,700837,721053,734630,756912,3597897,
Leon,288495,291879,290223,296717,300519,1467833,
Levy,40599,40832,41550,41354,41634,205969,
Liberty,8754,8839,8781,9167,8774,44315,
Madison,19252,19295,19420,19533,19254,96754,
Manatee,359486,367130,381071,388729,397727,1894143,
Marion,346956,352067,355325,360053,367247,1781648,
Martin,151081,152333,155705,158006,161017,778142,
Monroe,76461,77300,76534,73253,76280,379828,
Nassau,78174,79592,83125,85135,87389,413415,
Okaloosa,193247,194811,198409,201104,204326,991897,
Okeechobee,40983,41469,41492,41347,42187,207478,
Orange,1287703,1317704,1370447,1389297,1426631,6791782,
Osceola,326342,339470,360426,368678,388132,1783048,
Palm Beach,1395117,1411054,1442281,1458576,1469904,7176932,
Pasco,497991,507081,518639,527174,539769,2590654,
Pinellas,956302,961253,971022,979558,986400,4854535,
Polk,650552,663999,681691,688770,707191,3392203,
Putnam,73004,73068,73422,73012,73355,365861,
Saint Johns,222006,229272,241545,249734,266128,1208685,
Saint Lucie,294144,299962,304743,309073,316620,1524542,
Santa Rosa,168026,171851,175552,179875,183633,878937,
Sarasota,401316,407501,415896,426977,434853,2086543,
Seminole,450706,457028,463627,472775,480417,2324553,
Sumter,119433,123928,125779,130642,133310,633092,
Suwannee,44340,44527,45123,45482,46028,225500,
Taylor,22400,22220,22258,22652,22654,112184,
Union,15873,15896,15966,15985,15493,79213,
Volusia,519037,525121,532926,539563,546612,2663259,
Wakulla,31706,32134,32350,32418,33394,162002,
Walton,63562,65724,67926,70352,72528,340092,
Washington,24880,24935,25243,25347,25252,125657,
Total,20231092,20555733,20957705,21268553,21640766,104653849,

