,,,,,,,Population by County by Age
Year=2016, 2017, 2018, 2019, 2020

,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,
Agegroup2,<1,1-4,5-9,10-14,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Total,
Alachua,13494,56703,67499,62324,105463,209130,204857,141920,131024,144497,108602,49682,22439,1317634,
Baker,1659,7035,9187,9649,8893,8275,20441,17992,18863,17169,11501,5777,1757,138198,
Bay,10277,44567,53336,51834,47996,54444,127145,107428,118159,125202,89043,45466,18587,893484,
Bradford,1449,6291,7870,7719,7198,8477,21216,18087,18326,18700,14164,7928,3237,140662,
Brevard,25639,111786,146500,156351,157382,154399,328003,301428,386220,473487,372141,224490,91216,2929042,
Broward,107146,446768,554375,565256,552557,555597,1287924,1268366,1364243,1261850,866835,462116,228819,9521852,
Calhoun,644,3100,4296,4463,4077,3993,10570,9736,10334,9798,7555,4300,1577,74443,
Charlotte,5039,22036,29029,32062,33097,33430,68398,65908,96061,151797,188796,116548,46075,888276,
Citrus,5186,22411,29402,31252,31009,28385,60735,56952,82519,119196,143312,89889,30812,731060,
Clay,10730,48619,67728,75570,73573,60365,133130,137211,150814,145111,103748,45920,15234,1067753,
Collier,15905,66987,87451,92612,89985,87862,176828,180052,215431,246940,291928,208245,81697,1841923,
Columbia,3882,16949,21145,21354,20644,22619,45482,40774,43326,48397,37689,19431,7119,348811,
Miami-Dade,146411,662478,773477,775243,798524,872378,1993213,1928568,2055795,1713397,1201943,720657,324069,13966153,
Desoto,1874,7254,9756,9462,10456,11967,24940,21722,21598,21346,20169,13470,4701,178715,
Dixie,780,3170,4404,4461,4110,4115,9932,9886,10925,12771,11435,6226,1656,83871,
Duval,63397,260015,305171,287384,275305,322434,789161,604538,612260,607202,401046,181764,76146,4785823,
Escambia,19057,76656,92937,90236,109479,130699,231462,172649,187917,212984,154779,78259,30911,1588025,
Flagler,3954,17684,25171,28371,27909,24172,48852,52928,65544,84486,95800,50356,17603,542830,
Franklin,480,2190,2742,2742,2380,3285,9229,7071,7719,8870,8702,4125,1014,60549,
Gadsden,2560,11671,14830,14964,13864,14614,29047,30167,32214,34435,24813,11946,4536,239661,
Gilchrist,949,3948,4809,4838,6226,6806,9111,8990,11073,12661,10014,5436,2265,87126,
Glades,313,1751,3020,3234,3121,3163,8513,8073,8212,8436,9409,6845,1795,65885,
Gulf,577,2822,3742,3553,3667,4445,11325,10143,11626,12005,10459,5095,1674,81133,
Hamilton,817,3097,3827,3923,4188,6793,10113,8520,9558,9913,7812,3599,1366,73526,
Hardee,1748,7930,10111,10240,10024,9896,18442,15822,16570,14591,12354,7170,2738,137636,
Hendry,2812,11981,15123,14742,13688,13157,28253,24640,24957,21600,14929,8326,3268,197476,
