,,,,Population by County by Race by Sex
Year=2016, 2017, 2018, 2019, 2020

,Population,Population,Population,Population,Population,Population,Population,Population,Population,
Race Group1,White,White,White,Black & Other,Black & Other,Black & Other,Total,,,
Sex,Female,Male,Total,Female,Male,Total,Female,Male,Total,
Alachua,472911,450168,923079,208139,186416,394555,681050,636584,1317634,
Baker,56562,58381,114943,9023,14232,23255,65585,72613,138198,
Bay,367306,366363,733669,82064,77751,159815,449370,444114,893484,
Bradford,51631,57011,108642,12043,19977,32020,63674,76988,140662,
Brevard,1243093,1201163,2444256,255270,229516,484786,1498363,1430679,2929042,
Broward,3049034,3003334,6052368,1836096,1633388,3469484,4885130,4636722,9521852,
Calhoun,29179,32171,61350,4780,8313,13093,33959,40484,74443,
Charlotte,413064,390662,803726,42018,42532,84550,455082,433194,888276,
Citrus,351303,329721,681024,25857,24179,50036,377160,353900,731060,
Clay,437289,430209,867498,104443,95812,200255,541732,526021,1067753,
Collier,835676,810996,1646672,99700,95551,195251,935376,906547,1841923,
Columbia,133837,138178,272015,34566,42230,76796,168403,180408,348811,
Miami-Dade,5632484,5341378,10973862,1554041,1438250,2992291,7186525,6779628,13966153,
Desoto,66392,83518,149910,11236,17569,28805,77628,101087,178715,
Dixie,34215,39291,73506,3414,6951,10365,37629,46242,83871,
Duval,1477763,1445152,2922915,989015,873893,1862908,2466778,2319045,4785823,
Escambia,543528,554462,1097990,257458,232577,490035,800986,787039,1588025,
Flagler,235578,220100,455678,45988,41164,87152,281566,261264,542830,
Franklin,23089,27370,50459,3070,7020,10090,26159,34390,60549,
Gadsden,50234,49585,99819,75642,64200,139842,125876,113785,239661,
Gilchrist,39756,40112,79868,2673,4585,7258,42429,44697,87126,
Glades,23742,28065,51807,5283,8795,14078,29025,36860,65885,
Gulf,29379,35789,65168,5050,10915,15965,34429,46704,81133,
Hamilton,20393,25728,46121,10630,16775,27405,31023,42503,73526,
Hardee,57554,64189,121743,7209,8684,15893,64763,72873,137636,
Hendry,76393,87432,163825,17072,16579,33651,93465,104011,197476,
Hernando,435401,403120,838521,47632,44396,92028,483033,447516,930549,
Highlands,225507,215018,440525,38622,36262,74884,264129,251280,515409,
Hillsborough,2680198,2608961,5289159,950800,853693,1804493,3630998,3462654,7093652,
Holmes,43869,46324,90193,3369,7413,10782,47238,53737,100975,
Indian River,345676,317566,663242,51310,48166,99476,396986,365732,762718,
Jackson,80869,92218,173087,31312,44400,75712,112181,136618,248799,
Jefferson,21957,24222,46179,13044,14206,27250,35001,38428,73429,
Lafayette,16397,19399,35796,1666,5510,7176,18063,24909,42972,
Lake,744331,701863,1446194,145925,133087,279012,890256,834950,1725206,
Lee,1593314,1533630,3126944,243139,227814,470953,1836453,1761444,3597897,
Leon,468445,441578,910023,302820,254990,557810,771265,696568,1467833,
Levy,91603,88193,179796,13595,12578,26173,105198,100771,205969,
Liberty,14681,19629,34310,2330,7675,10005,17011,27304,44315,
Madison,26776,30498,57274,18794,20686,39480,45570,51184,96754,
Manatee,841269,791106,1632375,137637,124131,261768,978906,915237,1894143,
Marion,761664,705132,1466796,165017,149835,314852,926681,854967,1781648,
Martin,357994,344959,702953,35707,39482,75189,393701,384441,778142,
Monroe,162356,176868,339224,18850,21754,40604,181206,198622,379828,
Nassau,190440,184516,374956,19658,18801,38459,210098,203317,413415,
Okaloosa,396194,411100,807294,92737,91866,184603,488931,502966,991897,
Okeechobee,86139,94553,180692,9877,16909,26786,96016,111462,207478,
Orange,2332987,2298887,4631874,1123947,1035961,2159908,3456934,3334848,6791782,
Osceola,718678,698970,1417648,185732,179668,365400,904410,878638,1783048,
Palm Beach,2770983,2619646,5390629,930569,855734,1786303,3701552,3475380,7176932,
Pasco,1175734,1114175,2289909,154820,145925,300745,1330554,1260100,2590654,
Pinellas,2084665,1933449,4018114,440780,395641,836421,2525445,2329090,4854535,
Polk,1366056,1318398,2684454,363563,344186,707749,1729619,1662584,3392203,
Putnam,147559,146528,294087,37463,34311,71774,185022,180839,365861,
Saint Johns,551498,524503,1076001,67799,64885,132684,619297,589388,1208685,
Saint Lucie,576253,557402,1133655,203663,187224,390887,779916,744626,1524542,
Santa Rosa,379367,386521,765888,50610,62439,113049,429977,448960,878937,
Sarasota,999812,911384,1911196,91682,83665,175347,1091494,995049,2086543,
Seminole,950814,895678,1846492,251120,226941,478061,1201934,1122619,2324553,
Sumter,293398,277063,570461,23250,39381,62631,316648,316444,633092,
Suwannee,92556,96695,189251,15865,20384,36249,108421,117079,225500,
Taylor,39689,45876,85565,10674,15945,26619,50363,61821,112184,
Union,23445,35392,58837,4201,16175,20376,27646,51567,79213,
Volusia,1145116,1093988,2239104,220287,203868,424155,1365403,1297856,2663259,
Wakulla,64045,69846,133891,9970,18141,28111,74015,87987,162002,
Walton,151952,152908,304860,16167,19065,35232,168119,171973,340092,
Washington,48077,52987,101064,9443,15150,24593,57520,68137,125657,
Total,41249149,39791277,81040426,12257226,11356197,23613423,53506375,51147474,104653849,

