"Violent Crime, Rate Per 100,000 Population",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,
County,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV
Florida,82941,"21,640,766",383.3,2.6,81092,"21,268,553",381.3,2.6,81896,"20,957,705",390.8,2.7,85558,"20,555,728",416.2,2.8,88501,"20,231,092.0",437.5,2.9,93405,"19,897,762",469.4,3.0,91065,"19,579,871",465.1,3.0,91702,"19,314,396",474.8,3.1,93965,19118938,491.5,3.1,98183,"18,941,742",518.3,3.2
Alachua,2025,"270,405",748.9,32.5,1765,"266,649",661.9,30.8,1811,"263,753",686.6,31.5,1645,"259,349",634.3,30.6,1457,"257,478.0",565.9,29.0,1546,"255,631",604.8,30.1,1452,"251,760",576.7,29.6,1430,"248,526",575.4,29.7,1534,246893,621.3,31,1568,"247,151",634.4,31.3
Baker,132,"28,588",461.7,78.6,121,"28,089",430.8,76.6,95,"27,488",345.6,69.4,91,"27,066",336.2,69.0,118,"26,967.0",437.6,78.8,125,"27,003",462.9,81.0,137,"27,012",507.2,84.7,94,"26,895",349.5,70.5,64,26926,237.7,58.2,46,"26,915",170.9,49.3
Bay,843,"175,776",479.6,32.3,826,"179,900",459.1,31.2,760,"182,218",417.1,29.6,899,"178,953",502.4,32.8,897,"176,637.0",507.8,33.1,953,"174,016",547.7,34.7,904,"171,285",527.8,34.3,884,"170,004",520.0,34.2,870,169477,513.3,34,915,"169,311",540.4,34.9
Bradford,98,"28,818",340.1,67.2,112,"28,455",393.6,72.8,96,"28,083",341.8,68.3,100,"27,808",359.6,70.4,130,"27,498.0",472.8,81.1,97,"27,325",355.0,70.5,110,"27,317",402.7,75.1,128,"27,278",469.2,81.1,130,27083,480,82.3,122,"28,385",429.8,76.1
Brevard,2288,"604,154",378.7,15.5,2224,"593,372",374.8,15.5,2214,"584,050",379.1,15.8,2703,"576,970",468.5,17.6,2870,"570,496.0",503.1,18.4,2988,"563,818",530.0,19.0,2744,"554,431",494.9,18.5,2889,"549,144",526.1,19.1,2963,546128,542.5,19.5,3262,"545,304",598.2,20.5
Broward,7022,"1,946,104",360.8,8.4,7331,"1,927,014",380.4,8.7,7071,"1,903,210",371.5,8.6,7543,"1,884,545",400.3,9.0,7550,"1,860,979.0",405.7,9.1,7745,"1,834,008",422.3,9.4,7734,"1,809,422",427.4,9.5,8080,"1,788,781",451.7,9.8,8720,1774943,491.3,10.3,8749,"1,756,730",498.0,10.4
Calhoun,36,"14,894",241.7,78.9,36,"14,982",240.3,78.4,31,"15,315",202.4,71.2,33,"14,658",225.1,76.7,30,"14,594.0",205.6,73.5,28,"14,550",192.4,71.2,20,"14,579",137.2,60.1,18,"14,617",123.1,56.9,20,14631,136.7,59.9,13,"14,685",88.5,48.1
Charlotte,292,"185,392",157.5,18.1,367,"182,298",201.3,20.6,361,"175,413",205.8,21.2,376,"173,954",216.1,21.8,391,"171,219.0",228.4,22.6,347,"167,966",206.6,21.7,295,"164,987",178.8,20.4,390,"163,703",238.2,23.6,399,163682,243.8,23.9,396,"161,115",245.8,24.2
