Population Median Age (Census),,,,,,,,,,
,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
County,Years of Age,Years of Age,Years of Age,Years of Age,Years of Age,Years of Age,Years of Age,Years of Age,Years of Age,Years of Age
Florida,42.2,42.0,41.9,41.8,41.6,41.4,41.2,41.0,40.8,40.5
Alachua,31.7,31.6,31.3,31.2,31.0,30.8,30.5,30.3,30.1,29.6
Baker,37.8,37.7,37.6,37.1,36.5,36.6,36.3,36.2,35.9,35.9
Bay,40.6,39.8,39.4,39.6,39.7,39.8,39.7,39.7,39.3,39.0
Bradford,39.8,39.7,40.1,40.9,41.0,39.6,40.0,39.9,38.7,38.4
Brevard,47.2,47.3,47.2,47.1,47.0,46.6,46.3,45.9,45.5,45.1
Broward,40.5,40.4,40.1,40.1,40.0,40.0,39.8,39.8,39.7,39.4
Calhoun,41.9,41.6,40.2,40.3,40.6,40.5,39.1,40.1,40.1,39.1
Charlotte,59.5,59.1,58.6,58.1,57.7,57.3,56.9,56.7,55.9,55.4
Citrus,56.7,56.5,56.2,55.9,55.7,55.4,55.0,54.6,54.2,53.8
Clay,39.8,39.7,39.5,39.4,39.4,39.0,38.7,38.7,38.2,37.8
Collier,51.3,50.8,50.3,49.7,49.2,48.5,48.0,47.6,47.1,46.4
Columbia,40.6,40.4,40.7,40.7,40.7,40.4,40.4,39.9,40,39.7
Miami-Dade,40.2,39.9,39.7,39.5,39.3,39.0,38.8,38.5,38.2,38.0
DeSoto,40.7,40.9,40.6,40.7,40.2,40.1,39.2,38.6,38.5,37.7
Dixie,46.2,46.5,47.3,47.6,46.3,46.9,45.9,45.6,44.9,44.8
Duval,36.3,36.2,36.1,36.0,36.0,36.0,35.9,35.8,35.7,35.5
Escambia,37.3,37.2,37.2,37.0,37.1,37.2,37.2,37.4,37.5,37.5
Flagler,51.8,51.3,50.9,50.3,50.1,49.6,48.9,48.2,47.7,47.2
Franklin,47.3,46.4,45.0,44.3,43.8,42.1,41.5,42.7,42.3,42.6
Gadsden,41.4,40.8,40.7,40.7,40.3,40.2,40.2,39.4,38.9,38.3
Gilchrist,41.7,42.1,42.5,42.8,42.3,42.0,41.3,40.6,39.7,39.6
Glades,47.9,47.9,47.2,45.8,45.1,45.3,43.1,43.8,43.4,42.3
Gulf,46.3,44.9,44.3,44.3,44.5,43.3,43.0,44.2,43.8,42.8
Hamilton,40.0,40.9,41.5,41.1,40.9,40.5,40.3,40.0,38.4,38.1
