2020 Alphabetical Vessel Statistics by County,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,,Class A-1 - Pleasure,,,,,Total in Class A-1 Pleasure,,,,,,,,Class A-1 - Commercial,,,,,Total in Class A-1 Commercial,,,,,,,
Alachua,,Class A-1 - Pleasure: < than 12',,,,,"1,116",,,,,,,,Class A-1 - Commercial: < than 12',,,,,8,,,,,,,
Baker,,Class A-1 - Pleasure: < than 12',,,,,332,,,,,,,,Class A-1 - Commercial: < than 12',,,,,0,,,,,,,
Bay,,Class A-1 - Pleasure: < than 12',,,,,"2,452",,,,,,,,Class A-1 - Commercial: < than 12',,,,,17,,,,,,,
Bradford,,Class A-1 - Pleasure: < than 12',,,,,297,,,,,,,,Class A-1 - Commercial: < than 12',,,,,2,,,,,,,
Brevard,,Class A-1 - Pleasure: < than 12',,,,,"5,412",,,,,,,,Class A-1 - Commercial: < than 12',,,,,29,,,,,,,
Broward,,Class A-1 - Pleasure: < than 12',,,,,"10,836",,,,,,,,Class A-1 - Commercial: < than 12',,,,,77,,,,,,,
Calhoun,,Class A-1 - Pleasure: < than 12',,,,,113,,,,,,,,Class A-1 - Commercial: < than 12',,,,,0,,,,,,,
Charlotte,,Class A-1 - Pleasure: < than 12',,,,,"3,160",,,,,,,,Class A-1 - Commercial: < than 12',,,,,23,,,,,,,
Citrus,,Class A-1 - Pleasure: < than 12',,,,,"1,456",,,,,,,,Class A-1 - Commercial: < than 12',,,,,8,,,,,,,
Clay,,Class A-1 - Pleasure: < than 12',,,,,"2,407",,,,,,,,Class A-1 - Commercial: < than 12',,,,,2,,,,,,,
Collier,,Class A-1 - Pleasure: < than 12',,,,,"4,257",,,,,,,,Class A-1 - Commercial: < than 12',,,,,16,,,,,,,
Columbia,,Class A-1 - Pleasure: < than 12',,,,,350,,,,,,,,Class A-1 - Commercial: < than 12',,,,,3,,,,,,,
Dade,,Class A-1 - Pleasure: < than 12',,,,,"16,876",,,,,,,,Class A-1 - Commercial: < than 12',,,,,224,,,,,,,
Desoto,,Class A-1 - Pleasure: < than 12',,,,,260,,,,,,,,Class A-1 - Commercial: < than 12',,,,,7,,,,,,,
DHSMV,,Class A-1 - Pleasure: < than 12',,,,,508,,,,,,,,Class A-1 - Commercial: < than 12',,,,,135,,,,,,,
Dixie,,Class A-1 - Pleasure: < than 12',,,,,127,,,,,,,,Class A-1 - Commercial: < than 12',,,,,2,,,,,,,
Duval,,Class A-1 - Pleasure: < than 12',,,,,"5,053",,,,,,,,Class A-1 - Commercial: < than 12',,,,,21,,,,,,,
Escambia,,Class A-1 - Pleasure: < than 12',,,,,"2,594",,,,,,,,Class A-1 - Commercial: < than 12',,,,,11,,,,,,,
Flagler,,Class A-1 - Pleasure: < than 12',,,,,965,,,,,,,,Class A-1 - Commercial: < than 12',,,,,6,,,,,,,
Franklin,,Class A-1 - Pleasure: < than 12',,,,,133,,,,,,,,Class A-1 - Commercial: < than 12',,,,,27,,,,,,,
Gadsden,,Class A-1 - Pleasure: < than 12',,,,,133,,,,,,,,Class A-1 - Commercial: < than 12',,,,,2,,,,,,,
Gilchrist,,Class A-1 - Pleasure: < than 12',,,,,184,,,,,,,,Class A-1 - Commercial: < than 12',,,,,0,,,,,,,
Glades,,Class A-1 - Pleasure: < than 12',,,,,62,,,,,,,,Class A-1 - Commercial: < than 12',,,,,0,,,,,,,
Gulf,,Class A-1 - Pleasure: < than 12',,,,,219,,,,,,,,Class A-1 - Commercial: < than 12',,,,,22,,,,,,,
Hamilton,,Class A-1 - Pleasure: < than 12',,,,,59,,,,,,,,Class A-1 - Commercial: < than 12',,,,,0,,,,,,,
Hardee,,Class A-1 - Pleasure: < than 12',,,,,161,,,,,,,,Class A-1 - Commercial: < than 12',,,,,0,,,,,,,
Hendry,,Class A-1 - Pleasure: < than 12',,,,,434,,,,,,,,Class A-1 - Commercial: < than 12',,,,,4,,,,,,,
Hernando,,Class A-1 - Pleasure: < than 12',,,,,"1,617",,,,,,,,Class A-1 - Commercial: < than 12',,,,,11,,,,,,,
Highlands,,Class A-1 - Pleasure: < than 12',,,,,"1,363",,,,,,,,Class A-1 - Commercial: < than 12',,,,,2,,,,,,,
Hills,,Class A-1 - Pleasure: < than 12',,,,,"7,269",,,,,,,,Class A-1 - Commercial: < than 12',,,,,55,,,,,,,
Holmes,,Class A-1 - Pleasure: < than 12',,,,,145,,,,,,,,Class A-1 - Commercial: < than 12',,,,,0,,,,,,,
Indian River,,Class A-1 - Pleasure: < than 12',,,,,"1,300",,,,,,,,Class A-1 - Commercial: < than 12',,,,,7,,,,,,,
Jackson,,Class A-1 - Pleasure: < than 12',,,,,359,,,,,,,,Class A-1 - Commercial: < than 12',,,,,1,,,,,,,
Jefferson,,Class A-1 - Pleasure: < than 12',,,,,116,,,,,,,,Class A-1 - Commercial: < than 12',,,,,1,,,,,,,
